,logFC,logCPM,PValue,FDR,up_down
SCN7A,-6.18299008659547,-0.865262885605736,2.09120954826661e-25,2.60031090725842e-23,Down
JCAD,-4.01854660682187,3.51029738656062,2.18200138073603e-25,2.69462225305963e-23,Down
TROAP,6.14897740535754,5.48975462891368,2.56520687306176e-25,3.14630475655127e-23,Up
TCEAL2,-6.13657273141274,0.601937199496884,3.28221415307339e-25,3.998535214859e-23,Down
CITED2,-3.41171970547834,5.16724540245525,3.81622095989345e-25,4.61788348368315e-23,Down
CACNA1H,-4.86028208910269,3.12836692288558,4.4952047360763e-25,5.40323609276371e-23,Down
CRY2,-2.365228686601,4.59140565670274,6.61070433198419e-25,7.89344364938245e-23,Down
OLFML3,-4.2565952759925,4.32302920785038,7.16363510687167e-25,8.49739085374317e-23,Down
FBLN5,-4.20137202716186,4.63705657310111,7.54444202473619e-25,8.89060717032638e-23,Down
KIF18B,6.43915034669238,5.36880644881999,7.59660654008554e-25,8.89394908556768e-23,Up
MITF,-3.94431748332476,3.47058963139495,8.52586017028759e-25,9.91750057227647e-23,Down
POPDC2,-3.65180561839669,1.28253757520418,8.6127139365373e-25,9.95430976126715e-23,Down
SMTN,-3.35880446577845,5.89694520924705,1.2088595600783e-24,1.38826355848483e-22,Down
CDC6,5.50638750417452,5.85833689604678,1.28941563437307e-24,1.47140277770547e-22,Up
CDCA8,5.18669161364776,5.64353084555543,1.78215847695198e-24,2.02090046160027e-22,Up
TGFB1I1,-3.78620442859864,4.71107641686628,2.4299675733105e-24,2.73826970917427e-22,Down
KDR,-3.81421884125248,3.59718944818771,4.37932692617985e-24,4.9043021415542e-22,Down
F10,-4.87363632871244,0.920231470096905,4.89662158011514e-24,5.44975846231333e-22,Down
KCNB1,-5.88041459582717,-0.877533228167791,5.64343206791784e-24,6.24239755733489e-22,Down
PABPC5,-4.52326703641618,-1.86574273325753,5.9848624478694e-24,6.57969938628569e-22,Down
CLEC14A,-3.45225541713677,3.04556481556573,6.45015722078342e-24,7.0482627085288e-22,Down
MSRB3,-4.50469081882488,4.03640979068609,8.18082111566061e-24,8.88555450092535e-22,Down
CBX7,-3.0649162589169,4.7947714126738,1.00421996490741e-23,1.08419676450782e-21,Down
ADGRD1,-5.22278088660649,0.382487200261578,1.04737453961364e-23,1.12405731840678e-21,Down
NEK2,6.11766113584802,5.32698374118198,1.15028356055164e-23,1.22719601164178e-21,Up
ITPR1,-3.53444454893184,4.07996149870843,1.87553847232062e-23,1.98917403858475e-21,Down
ARHGEF25,-3.9159281893954,3.14043514913548,2.1566438807187e-23,2.27393503914375e-21,Down
BPI,-5.37256306945047,-2.01695269215858,2.25443610619383e-23,2.36322575550434e-21,Down
ITM2A,-4.1111452986066,3.24855786651812,2.5714090986384e-23,2.6799136444191e-21,Down
RAB3IL1,-3.63667124692489,3.04012400685051,2.96794602613331e-23,3.07540614087262e-21,Down
S1PR1,-3.62364906007116,2.88622571057989,4.24418350921932e-23,4.37272163835568e-21,Down
DCN,-4.61701637112205,7.27212355720085,4.360410673358e-23,4.46694343412754e-21,Down
USHBP1,-3.53522547052159,0.515286862285995,4.84373879611948e-23,4.9340457906234e-21,Down
VAMP2,-2.44297807371939,5.57736452187158,5.37564941230258e-23,5.44511005077615e-21,Down
KANK3,-3.44184025553224,1.55883797105363,5.87618448553109e-23,5.91886068570534e-21,Down
KCNE4,-4.41007173629333,1.42461960509705,7.80768521376668e-23,7.82069802245629e-21,Down
TCEAL4,-2.92818281631656,6.31201451009881,9.51888924967575e-23,9.48207586583722e-21,Down
NXPH3,-4.70268760786358,1.81557522832561,1.12287520279663e-22,1.11238680804524e-20,Down
TPM2,-3.96625892102742,7.75989615665395,1.15033508132902e-22,1.13336292439138e-20,Down
EXO1,5.80324799925495,4.56896287991886,1.17046016816346e-22,1.14692374086887e-20,Up
