,logFC,logCPM,PValue,FDR
AC005383.1,-2.672044638484,3.99177169404608,3.97982142032849e-07,1.39960138414436e-05
LINC02266,-3.82103855491033,2.77292125262517,4.0769461464995e-07,1.42711989878161e-05
AC100803.4,-2.63145745078977,4.83028953246032,4.3874750359596e-07,1.52874187773689e-05
LDLRAD4-AS1,-4.24463928184173,2.64792623177008,4.42672819754413e-07,1.53534366521244e-05
AC093673.1,-1.87225964382574,9.52148382616072,4.47382363831701e-07,1.54459271823356e-05
AC134312.1,-3.05458421255613,3.08831608517013,4.56204425854711e-07,1.5678916654034e-05
AL023803.2,5.14695807650363,6.23636898289551,4.74443326250434e-07,1.62319728044323e-05
LINC01765,-4.15597614825667,3.20707946020981,4.87927940967801e-07,1.66181223498088e-05
ILF3-DT,-1.68429989883962,11.0874246800053,5.00149348177033e-07,1.69579785720473e-05
FAM53B-AS1,-2.52259432083881,2.84585611124542,5.05111460322345e-07,1.70497667477556e-05
AL691432.2,-1.61516938877786,9.10064974363532,5.10162885765723e-07,1.71437403523317e-05
SACS-AS1,-3.98491054650492,2.40620281966694,5.2637154107422e-07,1.76101558498327e-05
AC114291.1,-3.88594996670029,2.72162837600335,5.64696460196326e-07,1.8809118658786e-05
AL121890.5,-2.66191122943344,3.1955979054096,5.88909258032693e-07,1.95295741227421e-05
AC087477.5,-3.39659336584903,3.08103675015381,6.02969986537174e-07,1.99085417825658e-05
AC120498.10,-3.84417529563764,2.91075460507197,6.40940814820243e-07,2.10702326124168e-05
AL109741.1,-2.69493813843232,3.51326740065788,6.65764541289031e-07,2.17915398124951e-05
AC004543.1,-2.9715467572603,2.85609761300101,6.71724018442051e-07,2.18918332044842e-05
AL391807.1,-3.90076181046771,3.04884386773106,7.05409136824756e-07,2.28909806160171e-05
AL049555.1,6.38767066213738,11.7320404854945,7.56685806295584e-07,2.44103332362253e-05
PGM5P3-AS1,-4.65870965452006,3.00114795099535,7.58686458208299e-07,2.44103332362253e-05
FAM66C,-2.43604290329404,6.36672135537039,7.7822981441758e-07,2.49330323169971e-05
AC093425.1,-3.33191782822509,2.62117470921502,7.87351834902254e-07,2.51188490451306e-05
LINC01579,-3.54598559734704,5.23247068194721,8.15147172983627e-07,2.58963351887782e-05
LINC00511,3.89405850752411,12.0139558810645,8.48726736325061e-07,2.6850304825748e-05
TMEM72-AS1,-2.7013312850271,3.15490843703681,8.90626100150925e-07,2.80584330968381e-05
AC011472.1,-1.961252607582,5.80175619652013,9.00366990794796e-07,2.82476133502052e-05
AL139022.2,-2.42871132031085,3.77337338464982,1.00861794392511e-06,3.15130589835443e-05
AC004803.1,-1.87884229671508,7.38454548729176,1.03519223734473e-06,3.22102407677509e-05
AC100810.1,-1.47634756758584,9.35458943976138,1.18284062997662e-06,3.66535164067756e-05
LRIG2-DT,-1.92252809994139,4.58823136017279,1.18922309541559e-06,3.67008809160704e-05
FAM66D,-2.8729560193913,3.76878214993693,1.34260682713415e-06,4.12660578047209e-05
AP002761.3,-2.28497228061219,4.85713043700982,1.39984548319573e-06,4.28511404795261e-05
LYPLAL1-DT,-2.64806242844237,3.59836950851197,1.51019237601374e-06,4.57915550447421e-05
EXOSC10-AS1,4.20421482867584,6.17902372756943,1.51134131932923e-06,4.57915550447421e-05
AC099850.4,4.47662370247145,8.50060634755388,1.51407072625123e-06,4.57915550447421e-05
PCAT19,-2.53992782061569,8.33876338235823,1.56849768155094e-06,4.72486492836919e-05
AP000251.1,5.86692943109141,7.59596622856505,1.64501912210109e-06,4.9340285266618e-05
AL513217.1,-3.20885722518232,3.22909519917566,1.6509842841495e-06,4.9340285266618e-05
AC108860.2,3.97816614742431,8.14555147081741,1.73782552054385e-06,5.17310974835908e-05
AC100861.1,2.98735927245209,8.77849944420388,1.82445271781036e-06,5.40968117622124e-05
DNM1P35,-2.08001843018206,5.91125362902708,1.8537680195923e-06,5.47513281099116e-05
DIRC3,-2.94571548796686,5.40517431114852,1.94900166956629e-06,5.73400841384854e-05
AC005041.3,4.79161119875893,6.1925842078241,2.05572850268465e-06,6.0245593832553e-05
